,itemId,title,category,description,option
2623,12221,Precure All Stars Movie New Stage: Mirai no Tomodachi,"Fantasy, Magic, Shoujo",Movie,1
2635,1079,Armitage III,"Action, Adventure, Mecha, Police, Romance, Sci-Fi",OVA,4
2639,2669,Doraemon Movie 06: Nobita no Little Star Wars,"Fantasy, Space",Movie,1
2640,2678,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,"Adventure, Fantasy, Kids, Shounen",Movie,1
2643,10115,Friends: Mononoke Shima no Naki,"Comedy, Fantasy, Kids",Movie,1
2677,23619,Haiyore! Nyaruko-san W OVA,"Comedy, Ecchi, Parody",OVA,1
2687,6324,Omamori Himari,"Action, Comedy, Demons, Ecchi, Harem, Romance, Supernatural",TV,12
2712,2797,Koukou Tekken-den Tough,"Action, Martial Arts, Shounen",OVA,3
2731,6098,Sora no Manimani,"Comedy, Romance, School, Slice of Life",TV,12
2746,2815,Geragera Boes Monogatari,"Comedy, Kids",TV,52
2761,17391,Senyuu. Specials,"Action, Comedy, Fantasy, Shounen",Special,4
2767,6312,Taiho Shichau zo: Full Throttle Special,"Action, Adventure, Comedy, Police",Special,1
2778,3432,Chou Mashin Eiyuuden Wataru,"Action, Adventure, Comedy, Mecha",TV,51
2793,2130,Kaibutsu Oujo,"Action, Comedy, Horror, Shounen, Supernatural, Vampire",TV,25
2794,33511,Koro-sensei Q!,"Comedy, Shounen",Movie,1
2805,24211,Orenchi no Furo Jijou,"Comedy, Fantasy, Shoujo",TV,13
2817,4021,Seiyou Kottou Yougashiten: Antique,"Comedy, Shoujo, Shounen Ai",TV,12
2827,20449,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru","Comedy, School, Slice of Life",OVA,1
2833,291,D.C.S.S: Da Capo Second Season,"Comedy, Drama, Harem, Romance, Supernatural",TV,26
2851,31378,Owari no Seraph: Kyuuketsuki Shahar,"Action, Drama, Shounen, Supernatural, Vampire",OVA,1
2862,3737,Usavich,"Adventure, Comedy",TV,13
2893,6178,Pokemon Diamond &amp; Pearl: Arceus Choukoku no Jikuu e,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1
2906,2206,Galaxy Angel Z Special,"Comedy, Sci-Fi",Special,1
2923,7695,Pokemon Diamond &amp; Pearl: Genei no Hasha Zoroark,"Action, Adventure, Fantasy, Kids",Movie,1
2929,30363,Shinmai Maou no Testament Burst,"Action, Demons, Ecchi, Fantasy, Harem, Romance",TV,10
2931,2604,Sky Girls,"Mecha, Military, Sci-Fi",TV,26
2941,10418,Deadman Wonderland OVA,"Action, Horror, Sci-Fi",OVA,1
2942,3561,Dennou Boukenki Webdiver,"Adventure, Mecha, Sci-Fi, Shounen",TV,52
2945,24457,Houkago no Ouji-sama,"Comedy, School, Shounen, Sports",Special,5
2953,20039,Kill Me Baby: Butsuzou Kegatte Nise Halloween,"Comedy, School",OVA,1
2974,659,Azumanga Daioh: Gekijou Tanpen,"Comedy, School, Slice of Life",Special,1
2995,521,Mermaid Melody Pichi Pichi Pitch,"Adventure, Comedy, Magic, Romance, Shoujo",TV,52
3015,1953,Code Geass: Hangyaku no Lelouch Picture Drama,"Comedy, School, Slice of Life",Special,9
3024,33740,Katekyo Hitman Reborn! x ēlDLIVE Special,"Shounen, Super Power",Special,1
3028,3313,Montana Jones,"Adventure, Comedy",TV,52
3039,5895,Tistou Midori no Oyayubi,"Historical, Magic",Movie,1
3065,598,Jinzou Ningen Kikaider The Animation,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,13
3067,1457,Key the Metal Idol,"Action, Drama, Mecha, Music, Sci-Fi",OVA,15
3107,20871,Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,"Comedy, Fantasy, Shounen",Special,1
3124,3407,Blassreiter,"Action, Sci-Fi",TV,24
3139,6293,Koukou Butouden Crows,"Action, School, Shounen",OVA,2
3141,1399,Macross 7 Encore,"Action, Comedy, Drama, Mecha, Music, Sci-Fi, Shounen",OVA,3
3167,2916,Genki Bakuhatsu Ganbaruger,"Mecha, Shounen",TV,47
3169,1180,Hyper Police,"Action, Comedy, Police, Romance, Sci-Fi",TV,25
3184,12223,Scryed Alteration II: Quan,"Action, Adventure, Sci-Fi, Shounen, Super Power",Movie,1
3186,32409,Shinmai Maou no Testament Burst Specials,"Comedy, Demons, Ecchi",Special,5
3191,308,Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi, Shounen",TV,26
3192,2404,Zombie-Loan,"Action, Horror, Shounen, Supernatural",TV,11
3202,502,Dragon Ball Movie 1: Shen Long no Densetsu,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1
3207,811,I&#039;&#039;s Pure,"Comedy, Drama, Ecchi, Romance, School",OVA,6
3238,280,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",TV,51
3241,27653,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,"Comedy, Kids, Shounen",Movie,1
3262,12591,Ojamajo Doremi OVA,"Kids, Magic",OVA,3
3268,32160,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,"Action, Comedy, Fantasy, Magic, Music, Shoujo",Movie,1
3278,711,Uchuu Senkan Yamato (Movie),"Drama, Military, Sci-Fi, Space",Movie,1
3284,1249,"Zone of the Enders: Dolores, I","Action, Adventure, Comedy, Mecha, Military, Sci-Fi, Space",TV,26
3292,1929,Futari wa Precure: Max Heart,"Action, Comedy, Fantasy, Magic, Shoujo",TV,47
3305,1174,Munto,"Fantasy, Magic, Romance",OVA,1
3308,28431,Pokemon Omega Ruby &amp; Alpha Sapphire: Mega Special Animation,"Action, Adventure, Fantasy, Kids",ONA,1
3317,971,Astro Boy: Tetsuwan Atom,"Action, Adventure, Kids, Mecha, Sci-Fi, Shounen, Super Power",TV,50
3326,10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,Comedy,Movie,1
3336,2230,Hana no Ko Lunlun,"Drama, Magic, Shoujo",TV,50
3343,2201,Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,"Action, Adventure, Drama, Fantasy, Kids",Movie,1
3353,2715,Totsuzen! Neko no Kuni Banipal Witt,Adventure,Movie,1
3354,1540,"Touch: Miss Lonely Yesterday - Are kara, Kimi wa...","Romance, Shounen, Sports",Special,1
3372,3710,Hakaba Kitarou,"Horror, Supernatural",TV,11
3383,2016,Mermaid Forest OVA,"Drama, Fantasy, Horror, Mystery",OVA,1
3385,9693,Moshidora,"Drama, Sports",TV,10
3400,3631,Aoi Blink,"Adventure, Fantasy",TV,39
3409,124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance, Shoujo",OVA,4
3412,5091,Manga Sarutobi Sasuke,"Adventure, Comedy, Historical, Supernatural",TV,24
3421,19841,Super Seisyun Brothers,"Comedy, Josei, Slice of Life",TV,14
3440,3547,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen,"Comedy, Police",Movie,1
3441,5891,Kousoku Denjin Albegus,Mecha,TV,45
3442,20889,Kuro no Sumika: Chronus,Psychological,Movie,1
3444,13247,Lupin III: Lupin Ikka Seizoroi,"Adventure, Comedy, Shounen",Special,1
3452,9884,Osomatsu-kun,Comedy,TV,56
3453,31756,Owari no Seraph: The Beginning of the End,"Action, Drama, Shounen, Supernatural, Vampire",Special,1
3462,2087,VS Knight Lamune &amp; 40 Fire,"Comedy, Fantasy, Mecha, Shounen",TV,26
3464,2554,Ai Shoujo Pollyanna Story,"Drama, Historical, Slice of Life",TV,51
3490,11241,Brave 10,"Action, Adventure, Historical, Samurai, Seinen, Super Power",TV,12
3495,2757,Juuni Senshi Bakuretsu Eto Ranger,"Action, Comedy, Fantasy",TV,39
3500,1423,Lupin III: Napoleon no Jisho wo Ubae,"Action, Adventure, Comedy, Shounen",Special,1
3505,6031,Osu!! Karate Bu,"Martial Arts, School, Shounen",OVA,4
3506,23849,Pokemon XY: Sora no Hahen,"Adventure, Fantasy, Kids",Movie,1
3514,9875,Anime Tenchou x Touhou Project,"Fantasy, Magic",Special,1
3518,12549,"Dakara Boku wa, H ga Dekinai.","Comedy, Ecchi, Romance, Supernatural",TV,12
3520,2520,Dragon Ball Specials,"Comedy, Fantasy, Shounen, Super Power",Special,2
3556,1707,Kinnikuman II Sei,"Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports",TV,51
3570,1532,Suki na Mono wa Suki Dakara Shou ga Nai!!,"Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life",TV,12
3571,4532,Taiyou no Yuusha Fighbird,"Action, Mecha, Sci-Fi",TV,48
3612,894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1
3615,4124,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,"Fantasy, Kids, Magic, Shoujo",Movie,1
3616,4856,Fuuma no Kojirou: Fuuma Hanran-hen,Action,OVA,1
3629,2614,Mirai Shounen Conan: Tokubetsu-hen - Kyodaiki Gigant no Fukkatsu,"Adventure, Drama, Sci-Fi",Movie,1
3635,3765,Pygmalio,"Adventure, Fantasy",TV,39
3648,27737,Battle Spirits: Burning Soul,"Action, Kids",TV,51
3679,1219,Chocotto Sister,"Comedy, Drama, Romance",TV,24
3688,649,Hanaukyou Maid-tai: La Verite,"Comedy, Ecchi, Harem, Romance",TV,12
3689,21407,Happiness Charge Precure!,"Action, Fantasy, Magic, Shoujo",TV,49
3698,6741,Makai Senki Disgaea: Welcome to Netherworld,"Action, Comedy, Demons, Fantasy, Magic",Special,1
3699,10945,Maria†Holic Alive Special,"Comedy, Parody, Romance, School",Special,1
3707,623,Shichinin no Nana,"Adventure, Comedy, Magic, Romance, School",TV,25
3708,10297,Shin Koihime†Musou: Otome Tairan OVA,"Comedy, School",OVA,1
3717,1112,Vandread: Taidou-hen,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space",OVA,1
3719,2688,Akai Koudan Zillion,"Action, Adventure, Military, Sci-Fi, Shounen",TV,31
3733,2938,Idol Densetsu Eriko,Music,TV,51
3746,30365,Shinmai Maou no Testament Burst OVA,"Action, Demons, Ecchi, Fantasy, Harem, Romance",OVA,1
3765,1898,Hikari to Mizu no Daphne Specials,"Action, Comedy, Ecchi",Special,2
3770,25375,Moon Pride,"Magic, Music, Romance, Supernatural",Music,1
3778,1541,Souten no Ken,"Action, Historical, Martial Arts",TV,22
3783,27887,Yama no Susume Second Season Specials,"Comedy, Slice of Life",Special,2
3796,19109,Fate/kaleid liner Prisma☆Illya Specials,"Comedy, Ecchi, Fantasy, Magic",Special,5
3802,6297,Kamen Rider Den-O: Imagin Anime 2,"Action, Adventure, Comedy, Kids, Super Power",OVA,12
3804,4262,Koihime†Musou,"Action, Adventure, Fantasy, Historical, Martial Arts",TV,12
3808,31980,Okusama ga Seitokaichou! OVA,"Comedy, Ecchi, Romance, Shounen",OVA,1
3834,25897,Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Comedy,Special,3
3862,12499,Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess,"Comedy, Kids, Shounen",Movie,1
3877,1748,Piyoko ni Omakase pyo!,"Comedy, Sci-Fi, Shounen",OVA,8
3899,15547,Cross Fight B-Daman eS,Kids,TV,52
3923,6330,Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako!,"Comedy, Fantasy, Supernatural",Special,8
3957,7774,Shin Koihime†Musou OVA,"Comedy, Ecchi, Fantasy",OVA,1
3962,10532,Working&#039;!! Announcement Specials,Comedy,ONA,2
3970,10260,Eiyuu Densetsu: Sora no Kiseki The Animation,"Action, Adventure, Fantasy",OVA,2
3975,9095,Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki,"Adventure, Historical",Special,1
3986,616,Nurse Angel Ririka SOS,"Drama, Fantasy, Magic, Shoujo",TV,35
3989,2826,Oz no Mahoutsukai (1986),"Adventure, Fantasy, Kids",TV,52
4001,926,Transformers Victory,"Adventure, Mecha, Sci-Fi, Shounen",TV,44
4008,2576,Araiguma Rascal,"Drama, Historical, Slice of Life",TV,52
4013,6855,Da Nao Tiangong,Adventure,Movie,1
4017,5973,Fight Ippatsu! Juuden-chan!!,"Comedy, Ecchi, Sci-Fi, Shounen",TV,12
4025,8208,Jigoku Sensei Nube (Movie),"Adventure, Comedy, Horror, School, Shounen, Supernatural",Movie,1
4031,1433,Lupin III: Babylon no Ougon Densetsu,"Action, Adventure, Comedy, Shounen",Movie,1
4034,921,Nurse Witch Komugi-chan Magikarte Z,"Comedy, Magic, Parody",OVA,2
4049,9736,Astarotte no Omocha!,"Comedy, Demons, Ecchi, Fantasy, Romance, Seinen",TV,12
4057,31050,Cyborg 009 VS Devilman,"Action, Demons, Sci-Fi, Shounen, Super Power, Supernatural",OVA,3
4059,2795,Dragonaut: The Resonance,"Action, Drama, Fantasy, Mecha, Romance, Sci-Fi",TV,25
4061,8187,Fumiko no Kokuhaku,Comedy,ONA,1
4063,260,Happy☆Lesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life",TV,13
4066,4808,Hurricane Polymar,"Action, Adventure, Police, Sci-Fi, Super Power",TV,26
4080,2970,Night Wizard,"Adventure, Fantasy, Magic, Shounen",TV,13
4084,919,Ray The Animation,"Drama, Romance, Sci-Fi",TV,13
4088,23459,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,"Action, Comedy, Fantasy",Special,1
4093,10702,Tekken: Blood Vengeance,"Action, Fantasy, Martial Arts, Sci-Fi, Supernatural",Movie,1
4094,2114,Tenkuu Senki Shurato: Sousei e no Anto,"Action, Fantasy, Magic, Shounen",OVA,6
4099,1266,Yoroiden Samurai Troopers Kikoutei Densetsu,"Adventure, Fantasy, Samurai, Shounen",OVA,4
4106,1758,Di Gi Charat Tsuyu Specials,Comedy,Special,2
4128,1161,Maze☆Bakunetsu Jikuu (TV),"Adventure, Comedy, Fantasy, Mecha, Shounen",TV,25
4129,3836,Meiken Jolie,"Adventure, Historical",TV,52
4132,12663,Patalliro! Stardust Keikaku,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",Movie,1
4133,29697,Prince of Tennis: Message in a Bottle,"Comedy, School, Shounen, Sports",Special,1
4136,33524,Sakamoto desu ga? Special,"Comedy, School, Seinen",Special,1
4138,2628,"The☆Doraemons: Strange, Sweets, Strange?",Fantasy,Movie,1
4161,518,Mahou no Princess Minky Momo,"Magic, Shoujo",TV,63
4166,13833,Nagareboshi Lens,"Romance, Shoujo",OVA,1
4180,1750,Amaenaide yo!! Katsu!!: Damasarenaide yo!!,"Comedy, Ecchi, Romance, Supernatural",Special,1
4187,3023,Esper Mami,"Comedy, Ecchi, Magic, School, Super Power, Supernatural",TV,119
4193,1325,Hamelin no Violin Hiki,"Adventure, Drama, Fantasy",TV,25
4209,14199,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,"Comedy, Ecchi, Harem, Romance, School",TV,12
4212,17573,Planetarium Uchuu Kyoudai: Itten no Hikari,"Comedy, Sci-Fi, Seinen, Slice of Life",Movie,1
4214,14093,Pokemon Best Wishes! Season 2,"Action, Adventure, Comedy, Fantasy, Kids",TV,24
4224,3761,Wanwan Sanjuushi,"Adventure, Historical",TV,26
4234,2650,"Doraemon Movie: Boku, Momotarou no Nanna no Sa","Adventure, Fantasy, Kids, Sci-Fi, Shounen",Movie,1
4242,1409,IGPX: Immortal Grand Prix,"Mecha, Sci-Fi, Shounen, Sports",TV,5
4243,5333,Ikkitousen: Great Guardians Specials,"Comedy, Ecchi",Special,6
4244,2565,Jungle Taitei: Susume Leo!,"Adventure, Shounen",TV,26
4250,2039,Mahou no Yousei Persia,"Comedy, Magic",TV,48
4251,17743,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no ja!","Adventure, Demons, Fantasy, Romance",Special,1
4252,8245,Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,"Adventure, Comedy, Sports",Movie,1
4269,27911,Anime de Wakaru Shinryounaika,"Comedy, Seinen",ONA,20
4274,4712,Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural",Special,1
4276,13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,Comedy,Special,6
4289,8783,Nezha Nao Hai,Kids,Movie,1
4290,24991,No Game No Life Specials,"Ecchi, Fantasy, Game",Special,6
4292,2615,Otome wa Boku ni Koishiteru Special,"Comedy, Romance, School",Special,1
4295,1742,Souryuuden,"Drama, Mystery, Super Power, Supernatural",OVA,12
4296,2619,Spider Riders: Oracle no Yuusha-tachi,"Action, Adventure, Mecha",TV,26
4310,9706,Canaan: Minorikawa Report 201X Shanghai,"Action, Seinen",Special,1
4326,8507,Ikkitousen: Xtreme Xecutor Specials,"Comedy, Ecchi",Special,6
4329,5305,Koihime†Musou OVA,"Comedy, Fantasy, School",OVA,1
4347,928,Transformers Galaxy Force,"Adventure, Mecha, Sci-Fi, Shounen",TV,52
4355,4197,Blue Dragon: Tenkai no Shichi Ryuu,"Adventure, Comedy, Fantasy, Supernatural",TV,51
4357,5618,Dokonjou Gaeru,"Comedy, Slice of Life",TV,103
4358,2641,Doraemon: It&#039;s Winter!,"Adventure, Comedy, Fantasy, Kids, Shounen",Special,1
4363,1019,Honoo no Mirage,"Action, Drama, Historical, Romance, School, Shounen Ai, Supernatural",TV,13
4382,175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26
4384,1958,Wish,Music,Music,1
4395,5945,Element Hunters,"Sci-Fi, Shounen",TV,39
4437,5266,Choujuu Kishin Dancougar: God Bless Dancougar,"Action, Mecha, Sci-Fi",OVA,1
4509,14957,Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2,"Comedy, Fantasy, Supernatural",Special,8
4531,13799,Pokemon: Meloetta no Kirakira Recital,"Adventure, Comedy, Fantasy, Kids, Music",Movie,1
4540,1980,Trava: Fist Planet,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,4
4541,7839,UFO Robo Grendizer: Akai Yuuhi no Taiketsu,"Mecha, Sci-Fi",Movie,1
4548,6511,Beast Wars Neo,"Action, Adventure, Mecha, Shounen, Super Power",TV,35
4555,863,Joshikousei: Girl&#039;s High,"Comedy, Drama, Ecchi, School, Slice of Life",TV,12
4562,9936,Maken-Ki!,"Action, Ecchi, Harem, Martial Arts, School, Super Power",TV,12
4564,2456,Mori no Densetsu,"Adventure, Drama, Fantasy, Music",Movie,1
4572,31716,Rewrite,"Action, Comedy, Romance, School, Supernatural",TV,13
4580,6137,Tsuki no Waltz,Music,Music,1
4594,1178,Detonator Orgun,"Action, Mecha, Sci-Fi",OVA,3
4610,3823,Little Lulu to Chicchai Nakama,"Comedy, Kids, Slice of Life",TV,26
4618,21497,Sengoku Musou SP: Sanada no Shou,"Action, Historical, Samurai",Special,1
4644,33421,Hitori no Shita: The Outcast,"Action, Super Power, Supernatural",TV,12
4645,11101,Honoo no Alpenrose,"Drama, Historical, Romance, Shoujo",OVA,2
4657,9916,Samurai Giants,Sports,TV,46
4660,3410,Sky Girls Specials,"Comedy, Mecha, Military, Sci-Fi",Special,9
4662,13679,Tottoko Hamtarou Hai!,"Adventure, Kids",TV,77
4666,3800,Arrow Emblem Grand Prix no Taka,"Cars, Drama, Sports",TV,44
4681,2895,Kujiratori,Adventure,Movie,1
4713,3522,Choujin Locke,"Action, Sci-Fi, Super Power",Movie,1
4717,5883,Examurai Sengoku,"Action, Martial Arts, Samurai, Sci-Fi",TV,24
4723,8101,HenSemi,"Comedy, Ecchi, Seinen",OVA,2
4732,31560,Miss Monochrome: The Animation 3,"Comedy, Music, Slice of Life",TV,13
4736,6625,Nono-chan,"Comedy, Slice of Life",TV,61
4774,783,Miami Guns,"Comedy, Ecchi, Police, Shounen",TV,13
4775,2306,Mobile Suit SD Gundam&#039;s Counterattack,"Comedy, Mecha, Parody",OVA,2
4778,4013,Paul no Miracle Daisakusen,"Action, Adventure, Kids",TV,51
4783,684,Tenshi no Shippo Chu!,"Fantasy, Magic, Romance",TV,11
4804,6657,Joshikousei: Girl&#039;s High Specials,"Comedy, Slice of Life",Special,3
4807,6509,Kiteretsu Daihyakka,"Comedy, Drama, Slice of Life",TV,331
4808,7430,Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,"Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural",OVA,1
4826,55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26
4836,1235,I&#039;&#039;s Pure Bonus,"Comedy, Ecchi, Romance",Special,5
4848,9789,Nezumi Monogatari: George to Gerald no Bouken,"Adventure, Kids",Movie,1
4875,4314,Nanami-chan 2nd Series,"Comedy, Kids",TV,16
4887,33208,Utawarerumono: Itsuwari no Kamen Specials,"Comedy, Fantasy",Special,2
4912,10810,Pucca (2008),"Action, Comedy, Parody, Romance",TV,13
4930,1789,Argento Soma Special,"Action, Mecha, Sci-Fi",Special,1
4941,13139,Gakkatsu!,"Comedy, School",TV,25
4943,16199,Girls und Panzer: Shoukai Shimasu!,"Military, School",Special,2
4948,1456,L/R: Licensed by Royal,"Action, Adventure, Mystery, Police",TV,12
4951,5164,Macross 25th Anniversary: All That VF Macross Zero Version,"Action, Mecha, Sci-Fi",ONA,1
4954,31121,Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,"Comedy, Slice of Life",ONA,60
4958,21571,"Pokemon: Pikachu, Kore Nan no Kagi?","Adventure, Comedy, Fantasy, Kids",Movie,1
4974,7395,Card Wang: Mix Master,"Adventure, Fantasy, Game, Shounen",TV,39
4982,2073,Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,"Horror, Shoujo",OVA,6
4990,4760,Kanokon Specials,Ecchi,Special,12
5003,6555,Pokemon: Pikachu no Kirakira Daisousaku!,"Adventure, Comedy, Fantasy, Kids",Special,1
5013,5819,Tori no Uta,Fantasy,OVA,1
5023,30907,Eine Kleine,"Drama, Music, Romance, Slice of Life",Music,1
5047,943,Yume Tsukai,"Drama, Fantasy, Magic, Slice of Life",TV,12
5053,7157,Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,"Comedy, Sci-Fi, Shounen",Movie,1
5060,9333,Koi☆Sento,"Comedy, Romance",OVA,1
5062,1495,Maetel Legend,"Drama, Sci-Fi, Space",OVA,2
5064,6492,Minky Momo in Tabidachi no Eki,"Drama, Fantasy, Magic, Shoujo",OVA,1
5069,3758,Panda no Daibouken,Adventure,Movie,1
5087,6452,Akuu Daisakusen Srungle,"Action, Mecha, Sci-Fi",TV,53
5090,5070,Beast Wars Second Chou Seimeitai Transformers,"Action, Mecha, Sci-Fi",TV,43
5092,2142,Blue Dragon,"Adventure, Comedy, Fantasy, Supernatural",TV,51
5096,21041,Follow Me,"Drama, Music, Romance, Slice of Life",Music,1
5109,23399,Minami no Shima no Dera-chan,"Comedy, Slice of Life",Movie,1
5126,27387,Under the Dog,"Action, Sci-Fi, Thriller",OVA,1
5129,5935,Animation Kikou: Marco Polo no Bouken,"Adventure, Historical",TV,43
5133,2915,Chikyuu ga Ugoita Hi,Drama,Movie,1
5138,336,Ginyuu Mokushiroku Meine Liebe,"Fantasy, Shoujo",TV,13
5156,10849,Shinryaku! Ika Musume: Ika Ice Tabena-ika?,Music,Music,1
5167,3114,Chiisana Kyojin Microman,"Action, Adventure, Comedy, Kids, Mecha, Sci-Fi, Shounen, Super Power",TV,52
5179,10207,Lily to Kaeru to (Otouto),"Adventure, Comedy, Supernatural",Special,1
5191,5272,Tondemo Nezumi Daikatsuyaku,Adventure,Movie,1
5207,1905,Harukanaru Toki no Naka de: Hachiyou Shou Specials,"Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",Special,8
5211,22049,Just Awake,"Action, Music, Sci-Fi",Music,1
5226,3399,Rokushin Gattai GodMars,"Action, Mecha, Sci-Fi, Space",TV,64
5229,12337,Soukou Kihei Votoms Recaps,"Action, Drama, Mecha, Military, Sci-Fi",OVA,4
5230,14333,Tanken Driland,"Adventure, Fantasy",TV,37
5249,17813,Kyoto Animation: Megane-hen,Thriller,Special,1
5253,34239,Mutsugo to Ouma no Monogatari,"Comedy, Parody",ONA,6
5254,2621,Natsu e no Tobira,"Drama, Romance, Shoujo, Shounen Ai",Movie,1
5263,33934,Trigger-chan,Action,ONA,1
5267,19973,Ashita no Joe Pilots,"Drama, Sports",Special,2
5272,18669,Black Jack: Karte NG Extras,Comedy,Special,1
5301,1048,The SoulTaker: Tamashii-gari,"Demons, Horror, Supernatural",TV,13
5305,2464,Yoshinaga-san&#039;chi no Gargoyle Specials,"Adventure, Comedy, Fantasy",Special,5
5309,23583,Akage no Anne Specials,"Drama, Historical, Kids, Shoujo, Slice of Life",Special,2
5324,1193,Happy Seven: The TV Manga,"Comedy, Fantasy",TV,13
5343,30246,Space☆Dandy 2nd Season Picture Drama,"Comedy, Sci-Fi, Space",Special,3
5353,8145,Gegege no Kitarou: Nippon Bakuretsu,"Action, Fantasy, Horror, Kids, Shounen, Supernatural",Movie,1
5366,3065,Ozanari Dungeon: Kaze no Tou,"Action, Adventure, Comedy, Fantasy",OVA,3
5380,20965,Wonder Garden,Fantasy,ONA,1
5382,1346,AD Police,"Adventure, Dementia, Mecha, Mystery, Police, Psychological, Sci-Fi, Thriller",OVA,3
5383,15607,Ai no Wakakusa Monogatari Specials,"Drama, Historical, Slice of Life",Special,2
5394,8743,Memory (ONA),"Drama, Military, Sci-Fi, Slice of Life",ONA,1
5402,32993,Sore ga Seiyuu!: Petit Uchiage,"Comedy, Slice of Life",Special,1
5418,17785,Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film,Comedy,Special,1
5420,9014,Kuttsukiboshi,"Drama, Romance, Shoujo Ai, Supernatural",OVA,2
5432,3474,Push,Parody,Special,1
5446,9163,Attack No.1 (1970),"Drama, Shoujo, Sports",Movie,1
5456,6413,Go! Go! Ackman,"Action, Comedy, Supernatural",OVA,1
5493,7171,Oni,"Demons, Historical, Supernatural",Movie,1
5511,2822,Bamboo Bears,Comedy,TV,52
5517,4737,Himitsukessha Taka no Tsume,"Comedy, Parody, Super Power",TV,12
5528,2571,Mitsubachi Maya no Bouken,"Adventure, Comedy, Kids",TV,52
5530,34252,STAR BEAT!: Hoshi no Kodou,Music,Music,1
5540,8548,Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,"Comedy, Sci-Fi, Shounen",Movie,1
5550,3278,Kinnikuman: New York Kiki Ippatsu!,"Action, Comedy, Shounen, Sports",Movie,1
5592,3315,Kikou Keisatsu Metal Jack,"Action, Mecha, Police, Sci-Fi",TV,37
5607,21861,Airy Me,"Dementia, Drama, Horror, Music",Music,1
5614,16740,Hanamaru Youchien Special Preview,"Comedy, School",Special,1
5617,28883,Hidan no Aria AA,"Action, School, Shoujo Ai",TV,12
5636,33247,Tsubasa to Hotaru (2016),"Romance, School, Shoujo",Special,3
5653,2281,Jikuu Tantei Genshi-kun,"Adventure, Comedy, Fantasy, Mystery, Sci-Fi, Shounen",TV,39
5654,9748,Kaze wo Nuke!,Sports,OVA,1
5660,31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",Movie,1
5664,25883,Taisei Kensetsu: Vietnam Noi Bai Kuukou,Drama,Special,1
